"чин"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%87%D0%B8%D0%BD-n>		<http://wordnet-rdf.princeton.edu/wn30/14429985-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/grad%C3%AB-n>		"gradë"@als	
"знача"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B7%D0%BD%D0%B0%D1%87%D0%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/00931852-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/n%C3%ABnkupton-v>		"nënkupton"@als	
"знача"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B7%D0%BD%D0%B0%D1%87%D0%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/00931852-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/do%20t%C3%AB%20thot%C3%AB-v>		"do të thotë"@als	
"знача"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B7%D0%BD%D0%B0%D1%87%D0%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/00931852-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/q%C3%ABndron%20p%C3%ABr-v>		"qëndron për"@als	
"обърна"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%BE%D0%B1%D1%8A%D1%80%D0%BD%D0%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/01909978-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/q%C3%AB%20p%C3%ABrmbyset-v>		"që përmbyset"@als	
"обърна"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%BE%D0%B1%D1%8A%D1%80%D0%BD%D0%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/01909978-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/p%C3%ABrmbys-v>		"përmbys"@als	
"обърна"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%BE%D0%B1%D1%8A%D1%80%D0%BD%D0%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/01909978-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/rrotullohem-v>		"rrotullohem"@als	
"обърна"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%BE%D0%B1%D1%8A%D1%80%D0%BD%D0%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/01907258-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/kthes%C3%AB-v>		"kthesë"@als	
"постигна"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%BF%D0%BE%D1%81%D1%82%D0%B8%D0%B3%D0%BD%D0%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/02526085-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/kryej-v>		"kryej"@als	
"постигна"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%BF%D0%BE%D1%81%D1%82%D0%B8%D0%B3%D0%BD%D0%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/02526085-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/realizoj-v>		"realizoj"@als	
"постигна"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%BF%D0%BE%D1%81%D1%82%D0%B8%D0%B3%D0%BD%D0%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/02526085-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/arrij-v>		"arrij"@als	
"постигна"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%BF%D0%BE%D1%81%D1%82%D0%B8%D0%B3%D0%BD%D0%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/02526085-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/arritje-v>		"arritje"@als	
"цена"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%86%D0%B5%D0%BD%D0%B0-n>		<http://wordnet-rdf.princeton.edu/wn30/05145118-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/%C3%A7mim-n>		"çmim"@als	
"цена"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%86%D0%B5%D0%BD%D0%B0-n>		<http://wordnet-rdf.princeton.edu/wn30/05145118-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/pages%C3%AB-n>		"pagesë"@als	
"цена"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%86%D0%B5%D0%BD%D0%B0-n>		<http://wordnet-rdf.princeton.edu/wn30/05145118-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/vler%C3%AB%20monetare-n>		"vlerë monetare"@als	
"одър"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%BE%D0%B4%D1%8A%D1%80-n>		<http://wordnet-rdf.princeton.edu/wn30/02818832-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/shtrat-n>		"shtrat"@als	
"вертолет"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B2%D0%B5%D1%80%D1%82%D0%BE%D0%BB%D0%B5%D1%82-n>		<http://wordnet-rdf.princeton.edu/wn30/03512147-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/helikopter-n>		"helikopter"@als	
"подреждам"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%BF%D0%BE%D0%B4%D1%80%D0%B5%D0%B6%D0%B4%D0%B0%D0%BC-v>		<http://wordnet-rdf.princeton.edu/wn30/01463963-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/organizim-v>		"organizim"@als	
"подреждам"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%BF%D0%BE%D0%B4%D1%80%D0%B5%D0%B6%D0%B4%D0%B0%D0%BC-v>		<http://wordnet-rdf.princeton.edu/wn30/01463963-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/caktoj-v>		"caktoj"@als	
"имам"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B8%D0%BC%D0%B0%D0%BC-v>		<http://wordnet-rdf.princeton.edu/wn30/02203362-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/zot%C3%ABroj-v>		"zotëroj"@als	
"имам"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B8%D0%BC%D0%B0%D0%BC-v>		<http://wordnet-rdf.princeton.edu/wn30/02203362-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/kam-v>		"kam"@als	
"имам"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B8%D0%BC%D0%B0%D0%BC-v>		<http://wordnet-rdf.princeton.edu/wn30/02203362-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/mbaj-v>		"mbaj"@als	
"заклевам с��"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B7%D0%B0%D0%BA%D0%BB%D0%B5%D0%B2%D0%B0%D0%BC%20%D1%81%EF%BF%BD%EF%BF%BD-v>		<http://wordnet-rdf.princeton.edu/wn30/01013040-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/betohem-v>		"betohem"@als	
"заклевам с��"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B7%D0%B0%D0%BA%D0%BB%D0%B5%D0%B2%D0%B0%D0%BC%20%D1%81%EF%BF%BD%EF%BF%BD-v>		<http://wordnet-rdf.princeton.edu/wn30/01013040-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/d%C3%ABshmoj-v>		"dëshmoj"@als	
"провалям се"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%BF%D1%80%D0%BE%D0%B2%D0%B0%D0%BB%D1%8F%D0%BC%20%D1%81%D0%B5-v>		<http://wordnet-rdf.princeton.edu/wn30/02041877-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/th%C3%ABrmohet-v>		"thërmohet"@als	
"провалям се"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%BF%D1%80%D0%BE%D0%B2%D0%B0%D0%BB%D1%8F%D0%BC%20%D1%81%D0%B5-v>		<http://wordnet-rdf.princeton.edu/wn30/02041877-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/zb%C3%ABrthej-v>		"zbërthej"@als	
